HYBAS_ID;year;LAI;LST;NPP;Precip;EI;Ksat;SOM;Alt_moy;Prop_burn
1120881500;2004;1.184412194;29.91565559;0.632538695;1227.18016;0.714094933;30.48301412;1.930765152;198.9049988;0.069827595
1120879710;2004;1.271086713;29.08549105;0.668265923;1255.551531;0.745673343;22.95102248;1.886775017;231.4894562;0.472303004
1121982320;2004;1.224341199;29.39046696;0.67063265;1240.271535;0.733645932;23.32984656;1.823858738;234.569519;0.321127052
1121981520;2004;1.293825022;28.97180059;0.661894336;1228.341174;0.743705202;21.32810544;2.17188549;263.4290771;0.171555319
1121979460;2004;1.32471842;29.12089507;0.644294139;1282.829944;0.710455652;17.76820131;2.095099211;274.5751038;0.6316562
1120866340;2004;1.258735163;29.67359836;0.605874168;1215.671402;0.703038825;20.82444656;2.171040535;279.1000671;0.350408021
1120862240;2004;1.373603171;29.45379423;0.610478482;1366.526446;0.632539236;20.75846037;1.975246787;272.8048706;0.446366812
1120857660;2004;1.306210939;29.54374213;0.565397915;1380.527107;0.593757069;23.51922953;1.417933583;263.6818542;0.115742948
1120856300;2004;1.277575126;30.53169327;0.554457601;1412.925694;0.559420808;24.91769264;1.368101239;286.1997681;0.076598313
1120852360;2004;1.145972474;32.33755938;0.514637224;1392.73209;0.508187755;22.38429115;1.491633534;277.245636;0
1120880130;2004;1.268521269;29.45733691;0.683182427;1268.261737;0.73951745;24.88569429;1.7777704;223.0477142;0.402033101
1120879890;2004;1.25650751;29.18746627;0.651867965;1370.205605;0.687359251;21.60639677;2.084671021;247.3384399;0.343324434
1120878770;2004;1.238865195;29.28339062;0.666010635;1420.411955;0.644661164;19.29673806;2.012220144;248.4634705;0.109420631
1120877670;2004;1.264357759;29.36370083;0.659075935;1435.663441;0.642373338;19.99267861;2.022885561;271.3052063;0.184019078
1120866330;2004;1.368286655;29.11146787;0.637656568;1297.347066;0.688872681;18.35243131;1.965905786;264.0189209;0.72882695
1121982380;2004;1.27259818;29.4145558;0.67429751;1418.0221;0.656606291;16.2833779;2.14945817;290.7945251;0.29824203
1121978110;2004;1.385806599;29.2073335;0.634969464;1359.513514;0.66793205;17.59832668;1.884655237;289.5663147;0.466870083
1120862250;2004;1.350791224;29.23390812;0.597131109;1274.727074;0.681776523;21.80946046;1.608072877;281.1547546;0.132342593
